,experiment,hour,date,device_make,browser,aware
738,0,21,2,13,1,1
739,1,15,1,13,1,0
740,0,3,7,102,2,0
741,0,10,3,13,1,0
742,0,15,0,13,1,1
743,1,14,1,69,2,1
744,0,6,4,13,1,1
745,1,19,5,68,2,1
746,0,15,0,13,1,1
747,1,22,5,13,1,0
748,1,6,4,48,2,0
749,1,20,6,2,4,0
750,1,11,1,13,1,1
751,1,23,6,13,1,1
752,0,7,3,13,1,0
753,1,14,2,13,1,1
754,0,11,1,52,7,1
755,0,17,1,13,1,0
756,0,15,0,68,2,0
757,1,6,3,13,1,1
758,0,18,5,13,1,0
759,1,18,5,66,2,1
760,0,15,0,13,1,1
761,0,15,0,21,2,0
762,1,5,0,109,2,1
763,1,18,5,66,2,1
764,0,9,7,13,1,1
765,1,7,6,68,2,1
766,1,19,5,13,1,1
767,0,7,3,27,2,1
768,0,12,2,13,1,0
769,1,1,4,68,2,0
770,1,3,7,13,1,1
771,1,19,1,65,7,0
772,0,15,0,13,1,1
773,1,19,4,13,1,1
774,1,7,2,38,2,0
775,1,5,1,13,1,1
776,0,11,6,87,7,0
777,0,15,7,41,7,1
778,1,11,4,13,1,0
779,1,4,7,19,4,0
780,0,5,6,68,2,1
781,0,15,0,13,1,0
782,0,8,1,13,1,1
783,1,13,1,10,2,1
784,0,15,0,68,7,1
785,0,15,0,47,7,0
786,0,15,0,13,1,1
787,1,4,5,13,1,1
788,0,9,6,114,5,1
789,0,15,0,64,7,0
790,1,11,0,13,4,1
791,1,18,6,13,1,0
792,0,11,7,13,1,0
793,1,4,7,13,1,1
794,1,12,0,13,1,0
795,1,17,6,69,2,1
796,0,5,7,36,4,1
797,1,7,2,13,1,0
798,0,15,0,13,1,0
799,0,7,7,66,2,0
800,1,22,6,53,2,1
801,0,21,4,13,1,0
802,0,5,2,13,1,1
803,1,14,2,13,1,1
804,1,0,7,73,4,1
805,0,15,0,114,5,0
806,1,16,5,13,1,1
807,1,21,5,66,2,1
808,1,14,0,65,2,0
809,1,15,5,13,1,1
810,1,6,6,13,1,0
811,0,17,5,13,1,0
812,1,12,1,44,4,0
813,0,9,6,42,7,1
814,0,19,5,42,7,1
815,1,12,6,13,1,0
816,0,15,0,13,1,1
817,1,9,4,13,4,0
818,1,17,5,13,1,0
819,1,11,6,13,1,1
820,1,13,1,13,1,0
821,0,21,4,13,1,1
822,0,12,7,21,1,1
823,1,21,5,13,1,0
824,1,5,7,13,1,0
825,1,17,5,13,1,0
826,0,16,2,67,4,1
827,1,16,5,13,1,1
828,1,5,5,35,2,0
829,0,15,0,47,7,1
830,1,7,5,13,1,1
831,0,13,7,13,1,0
832,1,12,1,13,1,0
833,1,6,4,13,2,1
834,1,5,2,13,1,1
835,1,3,0,68,2,0
836,1,10,3,66,2,0
837,0,15,0,7,2,0
838,1,7,1,30,2,1
839,1,6,1,66,2,0
840,0,15,0,60,7,0
841,1,17,6,47,7,0
842,0,4,3,13,1,0
843,1,2,0,13,1,1
844,0,11,6,43,7,1
845,1,15,5,13,1,1
846,0,22,5,72,4,0
847,1,11,0,48,2,0
848,1,13,1,13,1,1
849,1,12,4,13,1,0
850,1,2,0,13,1,1
851,1,20,5,13,1,1
852,0,15,0,13,1,0
853,1,21,6,13,1,0
854,0,15,0,13,1,1
855,1,3,6,13,1,1
856,1,7,0,98,2,1
857,0,0,3,36,4,1
858,0,15,0,69,4,0
859,1,20,5,13,1,1
860,0,15,0,42,1,1
861,0,8,4,81,7,0
862,0,18,6,13,1,0
863,0,15,0,13,1,0
864,0,14,5,43,2,0
865,1,13,0,13,1,1
866,1,19,5,13,1,0
867,0,14,4,13,1,0
868,1,12,2,68,4,1
869,1,6,7,13,1,1
870,0,15,0,13,1,0
871,1,13,6,37,2,1
872,0,9,1,65,4,0
873,1,18,2,13,1,1
874,1,2,4,72,7,0
875,0,0,7,68,4,0
876,1,14,5,68,2,1
877,1,10,6,13,1,0
878,1,18,5,87,2,0
879,1,0,5,13,1,0
880,0,13,5,13,1,1
881,0,15,0,13,1,0
882,1,1,4,97,2,1
883,1,12,0,48,2,0
884,0,15,0,13,1,0
885,0,11,1,21,1,1
886,1,2,7,13,1,1
887,1,15,5,38,2,0
888,1,0,7,13,1,0
889,0,13,4,13,1,1
890,0,0,6,48,2,1
891,0,12,6,13,1,0
892,1,17,1,13,1,0
893,1,6,0,13,1,1
894,0,11,5,93,4,0
